Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;10/02/2022, 2:00:00;1692,2484172661873;0;0;1692,2484172661873;0;0;0;0;1;1;1;1;0;0;218,6642685851319;0;0;8,082134292565947
PowLatec;10/02/2022, 3:00:00;1539,074787472036;0;0;1539,074787472036;0;0;0;0;1;1;1;1;0;0;219,55610738255035;0;0;7,311208053691275
PowLatec;10/02/2022, 4:00:00;1554,7213207547172;0;0;1554,7213207547172;0;0;0;0;1;1;1;1;0;0;218,4659119496855;0;0;7,494926624737945
PowLatec;10/02/2022, 5:00:00;1454,6123006833714;0;0;1454,6123006833714;0;0;0;0;1;1;1;1;0;0;219,42307517084282;0;0;6,941753986332573
PowLatec;10/02/2022, 6:00:00;1472,8484738041002;0;0;1472,8484738041002;0;0;0;0;1;1;1;1;0;0;217,6232346241458;0;0;7,092984054669703
PowLatec;10/02/2022, 7:00:00;1610,6489894736842;0;0;1610,6489894736842;0;0;0;0;1;1;1;1;0;0;219,5753894736842;0;0;7,71221052631579
PowLatec;10/02/2022, 8:00:00;1665,109722814499;0;0;1665,109722814499;0;0;0;0;1;1;1;1;0;0;217,7981236673774;0;0;8,082963752665245
PowLatec;10/02/2022, 9:00:00;1757,2477689243026;0;0;1757,2477689243026;0;0;0;0;1;1;1;1;0;0;217,56758964143424;0;0;8,436494023904382
PowLatec;10/02/2022, 10:00:00;1815,7398151571165;0;0;1815,7398151571165;0;0;0;0;1;1;1;1;0;0;217,0519223659889;0;0;8,674879852125693
PowLatec;10/02/2022, 11:00:00;1990,268115942029;0;0;1990,268115942029;0;0;0;0;1;1;1;1;0;0;217,82225442834138;0;0;9,52779388083736
PowLatec;10/02/2022, 12:00:00;2040,686712962963;0;0;2040,686712962963;0;0;0;0;1;1;1;1;0;0;218,99796296296296;0;0;9,728935185185186
PowLatec;10/02/2022, 13:00:00;2162,362973352034;0;0;2162,362973352034;0;0;0;0;1;1;1;1;0;0;216,84098176718092;0;0;10,376984572230015
PowLatec;10/02/2022, 14:00:00;2223,8732965517243;0;0;2223,8732965517243;0;0;0;0;1;1;1;1;0;0;216,02904827586207;0;0;10,693089655172413
PowLatec;10/02/2022, 15:00:00;2224,700951048951;0;0;2224,700951048951;0;0;0;0;1;1;1;1;0;0;216,4927132867133;0;0;10,678307692307692
PowLatec;10/02/2022, 16:00:00;2176,6894863563402;0;0;2176,6894863563402;0;0;0;0;1;1;1;1;0;0;217,6818940609952;0;0;10,371155698234348
PowLatec;10/02/2022, 17:00:00;2029,8261960132893;0;0;2029,8261960132893;0;0;0;0;1;1;1;1;0;0;221,4120930232558;0;0;9,625481727574751
PowLatec;10/02/2022, 18:00:00;1960,5369918699187;0;0;1960,5369918699187;0;0;0;0;1;1;1;1;0;0;221,10891056910566;0;0;9,235593495934959
PowLatec;10/02/2022, 19:00:00;1839,7347413793102;0;0;1839,7347413793102;0;0;0;0;1;1;1;1;0;0;221,68289655172413;0;0;8,77305172413793
PowLatec;10/02/2022, 20:00:00;1832,496755407654;0;0;1832,496755407654;0;0;0;0;1;1;1;1;0;0;220,98968386023293;0;0;8,700798668885191
PowLatec;10/02/2022, 21:00:00;1745,9578584070796;0;0;1745,9578584070796;0;0;0;0;1;1;1;1;0;0;220,58769911504424;0;0;8,245327433628319
PowLatec;10/02/2022, 22:00:00;1730,2516914498142;0;0;1730,2516914498142;0;0;0;0;1;1;1;1;0;0;221,1510594795539;0;0;8,152137546468403
PowLatec;10/02/2022, 23:00:00;1709,4134306569345;0;0;1709,4134306569345;0;0;0;0;1;1;1;1;0;0;221,3609306569343;0;0;8,15706204379562
PowLatec;11/02/2022, 0:00:00;1696,9319109461967;0;0;1696,9319109461967;0;0;0;0;1;1;1;1;0;0;218,26803339517625;0;0;8,142838589981446
PowLatec;11/02/2022, 1:00:00;1644,9444071146245;0;0;1644,9444071146245;0;0;0;0;1;1;1;1;0;0;218,19225296442687;0;0;7,870731225296443
PowLatec;11/02/2022, 2:00:00;1646,3330738522955;0;0;1646,3330738522955;0;0;0;0;1;1;1;1;0;0;217,1677245508982;0;0;7,856247504990021
PowLatec;11/02/2022, 3:00:00;1593,0753043478262;0;0;1593,0753043478262;0;0;0;0;1;1;1;1;0;0;218,26939130434783;0;0;7,6385000000000005
PowLatec;11/02/2022, 4:00:00;1566,8077136752138;0;0;1566,8077136752138;0;0;0;0;1;1;1;1;0;0;217,68017094017097;0;0;7,491025641025641
PowLatec;11/02/2022, 5:00:00;1595,2930508474576;0;0;1595,2930508474576;0;0;0;0;1;1;1;1;0;0;218,52754237288136;0;0;7,582415254237288
