timestamp,temperature,usage
1645115408,46.0,0.8
1645115707,44.0,0.3
1645116007,44.0,1.7
1645116307,44.0,3.8
1645116608,45.0,3.7
1645116907,45.0,0.8
1645117207,44.0,0.8
1645117507,49.0,0.5
1645117808,45.0,19.3
1645118107,44.0,0.8
1645118407,45.0,0.5
1645118707,45.0,0.8
1645119008,45.0,0.8
1645119307,45.0,1
1645119607,45.0,0.3
1645119907,44.0,0.7
1645120208,46.0,0.8
1645120507,45.0,20.6
1645120807,44.0,1
1645121107,45.0,1
1645121407,44.0,1
1645121708,44.0,0.8
1645122007,45.0,1.8
1645122307,44.0,0.7
1645122607,44.0,0.5
1645122908,45.0,1.2
1645123207,44.0,39.3
1645123507,44.0,0.3
1645123807,45.0,1
1645124108,44.0,0.5
1645124407,45.0,0.7
1645124707,44.0,0.5
1645125007,44.0,0.7
1645125308,45.0,0.3
1645125607,45.0,1
1645125907,45.0,32.5
1645126207,44.0,1.3
1645126507,44.0,0.5
1645126808,44.0,1.8
1645127107,44.0,1.5
1645127407,45.0,1
1645127708,44.0,1.7
1645128007,44.0,0.7
1645128307,44.0,0.5
1645128607,44.0,43
1645128907,44.0,1
1645129208,45.0,0.5
1645129507,44.0,0.7
1645129807,44.0,6.3
1645130107,44.0,2.5
1645130408,44.0,3
1645130707,45.0,0.7
1645131007,45.0,0.8
1645131307,45.0,16.4
1645131608,45.0,0.5
1645131907,44.0,0.3
1645132207,44.0,0.7
1645132507,44.0,2.2
1645132808,44.0,1.7
1645133107,45.0,0.3
1645133407,44.0,1.2
1645133707,44.0,1.2
1645134007,45.0,22.3
1645134308,44.0,0.5
1645134607,44.0,0.5
1645134907,44.0,0.5
1645135207,44.0,1.5
1645135508,44.0,0.5
1645135807,45.0,0.5
1645136107,45.0,0.3
1645136407,45.0,1.3
1645136708,44.0,10.6
1645137007,44.0,0.7
1645137307,45.0,0.8
1645137607,44.0,0.5
1645137908,44.0,1.2
1645138207,45.0,0.5
1645138507,44.0,0.8
1645138807,45.0,0.5
1645139107,45.0,1
1645139408,46.0,0.3
1645139707,45.0,0.5
1645140007,44.0,0.7
1645140307,44.0,0.5
1645140608,45.0,0.5
1645140907,44.0,1
1645141207,45.0,0.5
1645141507,44.0,0.5
1645141808,45.0,0.8
1645142107,45.0,0.3
1645142407,44.0,0.8
1645142707,44.0,0.8
1645143008,44.0,0.7
1645143307,45.0,0.3
1645143607,45.0,1.5
1645143907,44.0,2.5
1645144208,44.0,1.8
1645144507,45.0,0.8
1645144807,51.0,0.5
1645145107,44.0,11.9
1645145408,44.0,0.5
1645145707,44.0,0.7
1645146007,44.0,0.8
1645146307,44.0,0.5
1645146607,45.0,0.3
1645146908,44.0,0.3
1645147207,45.0,0.5
1645147507,46.0,0.3
1645147807,44.0,28.9
1645148108,45.0,0.5
1645148407,44.0,0.8
1645148707,44.0,0.3
1645149007,45.0,0.3
1645149308,44.0,0.3
1645149607,45.0,0.7
1645149907,44.0,0.7
1645150207,44.0,0.5
1645150508,44.0,44.2
